expt	sample	condition
zmp_ph192	zmp_ph192_A01_p3	het_tfap2a_wt_tfap2c
zmp_ph192	zmp_ph192_A02_p3	hom_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_A03_p3	hom_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_A04_p3	het_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_A05_p3	hom_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_A06_p3	hom_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_A07_p3	hom_tfap2a_wt_tfap2c
zmp_ph192	zmp_ph192_A08_p3	het_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_A09_p3	het_tfap2a_wt_tfap2c
zmp_ph192	zmp_ph192_A10_p1	wt_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_A10_p3	wt_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_A11_p1	het_tfap2a_wt_tfap2c
zmp_ph192	zmp_ph192_A11_p3	hom_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_A12_p1	wt_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_A12_p3	hom_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_A1_p1	hom_tfap2a_wt_tfap2c
zmp_ph192	zmp_ph192_A2_p1	hom_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_A4_p1	hom_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_A5_p1	hom_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_A6_p1	hom_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_A7_p1	het_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_A7_p2	wt_tfap2a_wt_tfap2c
zmp_ph192	zmp_ph192_A8_p1	hom_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_A9_p1	hom_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_B01_p3	hom_tfap2a_wt_tfap2c
zmp_ph192	zmp_ph192_B02_p3	het_tfap2a_wt_tfap2c
zmp_ph192	zmp_ph192_B03_p3	wt_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_B04_p3	hom_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_B05_p3	het_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_B06_p3	het_tfap2a_wt_tfap2c
zmp_ph192	zmp_ph192_B07_p3	het_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_B07_p4	hom_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_B08_p3	het_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_B09_p3	het_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_B10_p1	hom_tfap2a_wt_tfap2c
zmp_ph192	zmp_ph192_B10_p3	het_tfap2a_wt_tfap2c
zmp_ph192	zmp_ph192_B11_p1	wt_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_B11_p3	wt_tfap2a_wt_tfap2c
zmp_ph192	zmp_ph192_B12_p1	het_tfap2a_wt_tfap2c
zmp_ph192	zmp_ph192_B12_p3	het_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_B2_p1	wt_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_B3_p1	hom_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_B4_p1	het_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_B5_p1	wt_tfap2a_wt_tfap2c
zmp_ph192	zmp_ph192_B7_p1	wt_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_B8_p1	wt_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_B9_p1	het_tfap2a_wt_tfap2c
zmp_ph192	zmp_ph192_B9_p2	wt_tfap2a_wt_tfap2c
zmp_ph192	zmp_ph192_C03_p3	het_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_C04_p3	hom_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_C07_p3	het_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_C10_p1	wt_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_C10_p3	wt_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_C11_p1	het_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_C12_p1	hom_tfap2a_wt_tfap2c
zmp_ph192	zmp_ph192_C1_p1	het_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_C2_p1	het_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_C3_p1	het_tfap2a_hom_tfap2c
zmp_ph192	zmp_ph192_C4_p1	hom_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_C6_p1	hom_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_C7_p1	het_tfap2a_wt_tfap2c
zmp_ph192	zmp_ph192_C8_p1	het_tfap2a_het_tfap2c
zmp_ph192	zmp_ph192_C9_p1	het_tfap2a_wt_tfap2c
